20190704161343.43,35.7157,-117.5002,14.5,1.64
20190704170255.39,35.7090,-117.5003,13.3,4.49
20190704170920.13,35.7172,-117.5007,14.7,2.51
20190704171215.04,35.7123,-117.5030,13.2,2.32
20190704174253.80,35.7335,-117.5613,18.7,3.34
20190704174650.04,35.6582,-117.6057,16.1,3.40
20190704175802.99,35.7190,-117.5062,9.1,3.42
20190704180541.36,35.7167,-117.5255,21.4,2.81
20190704180615.76,35.6345,-117.5263,21.6,4.01
20190704180833.38,35.6697,-117.5085,2.0,3.29
20190704181032.95,35.6685,-117.5273,11.7,3.74
20190704181633.43,35.7305,-117.5342,19.2,3.08
20190704181845.69,35.6542,-117.6037,16.4,3.59
20190704182603.46,35.6477,-117.5262,20.6,3.32
20190704182758.91,35.7547,-117.5533,21.7,4.60
20190704182843.71,35.6815,-117.5660,13.2,4.04
20190704185213.40,35.6375,-117.5403,19.6,3.02
20190704185327.39,35.7303,-117.5563,18.2,3.35
20190704191606.31,35.7208,-117.5685,16.6,2.82
20190704191657.62,35.7053,-117.5145,12.2,2.74
20190704192051.73,35.6193,-117.5472,15.6,2.88
20190704192132.06,35.6767,-117.4830,13.9,4.68
20190704194904.52,35.6625,-117.4682,23.0,3.34
20190704195213.18,35.6118,-117.5793,3.1,2.72
20190704195800.64,35.7282,-117.5563,12.0,2.56
20190704200608.39,35.7010,-117.4858,11.6,3.52
20190704201131.61,35.6802,-117.4942,13.2,2.89
20190704201737.23,35.7030,-117.4837,10.2,3.19
20190704203234.34,35.6603,-117.5408,14.2,2.18
20190704203521.42,35.7455,-117.5348,3.7,2.53
20190704205711.76,35.6502,-117.5273,22.1,2.79
20190704205929.04,35.6793,-117.4873,20.0,2.49
20190704211555.41,35.7267,-117.5558,16.1,2.85
20190704212634.45,35.6685,-117.5178,22.5,3.18
20190704213113.38,35.6185,-117.5528,19.8,2.45
20190704213334.57,35.6335,-117.5870,12.0,3.18
20190704214159.51,35.7190,-117.5353,21.6,2.91
20190704214409.69,35.6968,-117.5122,14.5,2.69
20190704220235.10,35.6863,-117.5073,14.9,3.61
20190704220502.53,35.6467,-117.5285,23.3,3.11
20190704220521.81,35.7072,-117.4513,22.9,3.70
20190704221208.03,35.7507,-117.5662,20.9,4.64
20190704221718.57,35.7152,-117.5203,8.6,2.63
20190704221955.58,35.7058,-117.5077,13.0,2.34
20190704222831.03,35.7060,-117.4875,9.6,2.13
20190704223427.60,35.6935,-117.4673,22.4,2.36
20190704223539.22,35.6493,-117.5987,16.7,2.74
20190704224221.25,35.7275,-117.5177,22.6,3.37
20190704230710.66,35.7002,-117.4758,17.4,2.78
20190704231240.47,35.6753,-117.4765,12.8,3.78
20190704233910.22,35.7310,-117.5472,12.9,2.29
20190704233935.02,35.7230,-117.5537,17.9,2.29
20190704234233.71,35.7525,-117.5678,15.8,4.00
20190704234447.36,35.7190,-117.5233,3.5,2.14
20190704174002.40,35.7237,-117.5685,4.8,3.97
20190704174018.72,35.7182,-117.5125,12.0,4.62
20190704174717.92,35.7493,-117.5442,10.7,3.70
